Year,Month,Day,Hour,Minute,Data Source and Uncertainty Flags,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Days Since Last Snowfall,Albedo,Liquid Precipitation Depth,Liquid Precipitation Quantity
1991,1,1,1,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.8,2.5,98,99121,0,0,314,0,0,0,0,0,0,0,137,3.3,10,10,777.7,48,9,999999999,13,0.085,0,88,0.12,0.0,0.0
1991,1,1,2,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.7,2.6,99,99137,0,0,308,0,0,0,0,0,0,0,180,1.5,10,10,777.7,56,9,999999999,13,0.085,0,88,0.12,0.0,0.0
1991,1,1,3,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.2,2.1,99,99139,0,0,300,0,0,0,0,0,0,0,164,1.5,10,10,777.7,43,9,999999999,12,0.085,0,88,0.12,0.0,0.0
1991,1,1,4,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.0,1.9,99,99140,0,0,297,0,0,0,0,0,0,0,174,1.5,10,10,777.7,30,9,999999999,12,0.085,0,88,0.12,0.0,0.0
1991,1,1,5,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,1.8,1.6,99,99142,0,0,298,0,0,0,0,0,0,0,180,1.5,10,10,777.7,39,9,999999999,12,0.085,0,88,0.12,0.0,0.0
1991,1,1,6,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,1.4,1.0,97,99144,0,0,293,0,0,0,0,0,0,0,203,1.5,10,10,777.7,72,9,999999999,11,0.085,0,88,0.12,0.0,0.0
1991,1,1,7,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,1.6,1.0,96,99146,0,0,295,0,0,0,0,0,0,0,222,1.5,10,10,777.7,59,9,999999999,11,0.085,0,88,0.12,0.0,0.0
1991,1,1,8,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.1,1.4,95,99148,27,183,302,0,0,0,0,0,0,0,240,1.5,10,10,777.7,134,9,999999999,11,0.085,0,88,0.12,0.0,0.0
1991,1,1,9,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,3.1,1.9,92,99155,205,1415,318,0,0,0,0,0,0,0,257,2.5,9,9,777.7,78,9,999999999,12,0.085,0,88,0.12,0.2,0.0
1991,1,1,10,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,4.2,2.7,90,99163,341,1415,318,36,2,35,7059,128,6955,2622,269,3.6,9,9,777.7,120,9,999999999,13,0.085,0,88,0.12,0.1,0.0
1991,1,1,11,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,5.0,3.0,87,99170,426,1415,313,68,3,67,10648,218,10529,4108,270,4.6,9,9,777.7,383,9,999999999,13,0.085,0,88,0.12,0.1,0.0
1991,1,1,12,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,8.0,5.8,86,99170,453,1415,314,93,5,91,12307,501,12221,5683,282,4.3,8,8,777.7,3228,9,999999999,17,0.085,0,88,0.12,0.1,0.0
1991,1,1,13,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,8.0,5.6,85,99169,422,1415,307,110,8,107,12119,713,12119,6768,284,3.9,8,8,777.7,3214,9,999999999,17,0.085,0,88,0.12,0.1,0.0
1991,1,1,14,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,7.9,5.4,84,99169,333,1415,307,105,8,102,10864,1335,10774,6773,270,3.6,8,8,777.7,3279,9,999999999,17,0.085,0,88,0.12,0.1,0.0
1991,1,1,15,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,7.8,4.9,82,99168,194,1415,304,80,19,76,7766,1785,7583,5732,278,4.5,8,8,777.7,2991,9,999999999,16,0.085,0,88,0.12,0.1,0.0
1991,1,1,16,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,6.2,2.8,79,99168,13,1415,300,44,16,41,3373,806,3281,2609,279,5.3,7,7,777.7,3758,9,999999999,13,0.085,0,88,0.12,0.1,0.0
1991,1,1,17,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,5.8,2.1,77,99167,0,89,295,11,0,11,567,0,567,200,270,6.2,7,7,777.7,3503,9,999999999,12,0.085,0,88,0.12,0.0,0.0
1991,1,1,18,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,7.2,3.4,77,99163,0,0,290,0,0,0,0,0,0,0,294,6.0,7,7,777.7,3210,9,999999999,14,0.085,0,88,0.12,0.0,0.0
1991,1,1,19,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,5.0,1.2,76,99159,0,0,289,0,0,0,0,0,0,0,307,5.9,7,7,777.7,901,9,999999999,11,0.085,0,88,0.12,0.0,0.0
1991,1,1,20,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,4.4,0.5,76,99155,0,0,286,0,0,0,0,0,0,0,310,5.7,7,7,777.7,765,9,999999999,10,0.085,0,88,0.12,0.0,0.0
1991,1,1,21,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,4.2,1.2,72,99152,0,0,291,0,0,0,0,0,0,0,309,4.8,6,6,777.7,533,9,999999999,11,0.085,0,88,0.12,0.0,0.0
